district,date,temp_moy,temp_max,humidite,precip_mensuel,cas
Bourha,2021-06-01,28.3,39.25,64.71,119.7,710.0
Bourha,2021-07-01,24.47,32.9,84.87,224.44,872.0
Bourha,2021-08-01,24.32,29.7,85.32,176.7,855.0
Bourha,2021-09-01,25.01,31.22,83.86,129.3,1125.0
Bourha,2021-10-01,26.62,35.12,73.18,54.25,1392.0
Bourha,2021-11-01,28.0,37.64,43.47,1.5,1285.0
Bourha,2021-12-01,26.83,37.23,21.85,0.0,844.0
Bourha,2022-01-01,25.49,37.85,18.85,0.0,997.0
Bourha,2022-02-01,26.93,38.95,12.14,0.0,538.0
Bourha,2022-03-01,31.32,41.99,13.14,0.0,428.0
Bourha,2022-04-01,31.13,43.18,44.8,29.7,392.0
Bourha,2022-05-01,28.64,38.59,63.45,44.95,467.0
Bourha,2022-06-01,27.62,37.67,67.03,115.5,856.0
Bourha,2022-07-01,25.17,34.96,81.09,225.06,1247.0
Bourha,2022-08-01,23.81,29.99,87.94,220.41,1437.0
Bourha,2022-09-01,24.68,30.17,84.64,381.6,1475.0
Bourha,2022-10-01,24.92,32.9,76.69,14.88,1324.0
Bourha,2022-11-01,25.36,35.42,43.51,0.0,893.0
Bourha,2022-12-01,24.83,36.6,24.45,0.0,601.0
Bourha,2023-01-01,26.38,39.23,19.33,0.0,565.0
Bourha,2023-02-01,28.19,40.73,14.21,0.0,440.0
Bourha,2023-03-01,30.94,41.94,19.23,5.27,406.0
Bourha,2023-04-01,32.74,42.59,32.74,11.4,381.0
Bourha,2023-05-01,30.14,40.7,57.83,130.82,532.0
Bourha,2023-06-01,27.38,35.02,71.06,106.2,755.0
Bourha,2023-07-01,27.27,35.06,71.26,99.2,696.0
Bourha,2023-08-01,25.47,31.62,81.79,196.85,803.0
Bourha,2023-09-01,25.65,32.53,82.08,151.5,849.0
Bourha,2023-10-01,28.2,37.4,64.59,35.03,927.0
Bourha,2023-11-01,29.19,38.48,38.84,6.6,1060.0
Bourha,2023-12-01,26.64,38.1,19.44,0.0,770.0
Bourha,2024-01-01,25.6,36.78,12.85,0.0,543.0
Bourha,2024-02-01,28.76,42.83,15.77,0.0,493.0
Bourha,2024-03-01,33.51,44.55,14.22,0.0,456.0
Bourha,2024-04-01,34.39,44.32,27.68,2.1,363.0
Bourha,2024-05-01,33.88,43.64,39.52,11.16,612.0
Bourha,2024-06-01,29.08,39.97,65.54,142.5,727.0
Bourha,2024-07-01,26.07,34.56,78.52,194.06,750.0
Bourha,2024-08-01,24.3,30.14,86.52,228.47,1150.0
Bourha,2024-09-01,25.32,31.08,82.61,131.1,1331.0
Bourha,2024-10-01,25.77,34.01,74.4,66.65,1180.0
Bourha,2024-11-01,24.92,35.8,41.27,0.0,1237.0
Bourha,2024-12-01,25.15,36.58,25.96,0.0,674.0
Bourha,2025-01-01,26.71,39.01,18.52,0.0,465.0
Bourha,2025-02-01,29.58,40.76,14.65,0.0,385.0
Bourha,2025-03-01,32.4,43.2,12.01,0.0,391.0
Bourha,2025-04-01,33.57,44.09,22.1,12.3,372.0
Bourha,2025-05-01,33.21,43.1,38.06,25.42,383.0
Bourha,2025-06-01,29.48,41.35,59.75,154.2,418.0
Bourha,2025-07-01,25.04,32.22,82.53,241.8,425.0
Bourha,2025-08-01,24.32,29.93,85.14,177.63,607.0
Bourha,2025-09-01,25.26,31.44,82.31,138.9,710.0
Bourha,2025-10-01,26.24,34.98,69.54,49.6,805.0
Bourha,2025-11-01,27.52,38.51,35.28,0.0,591.0
Bourha,2025-12-01,28.02,38.58,21.06,0.0,421.0
Fotokol,2017-01-01,25.86,40.24,20.17,0.0,378.0
Fotokol,2017-02-01,25.34,38.67,14.4,0.0,
Fotokol,2017-03-01,30.02,42.72,14.04,0.0,296.0
Fotokol,2017-04-01,34.42,44.54,17.46,0.0,308.0
Fotokol,2017-05-01,35.15,45.07,32.6,9.61,484.0
Fotokol,2017-06-01,31.68,43.15,53.38,113.4,158.0
Fotokol,2017-07-01,29.03,38.42,65.56,115.63,245.0
Fotokol,2017-08-01,27.64,35.51,72.93,141.36,132.0
Fotokol,2017-09-01,28.41,38.13,68.4,95.4,149.0
Fotokol,2017-10-01,28.91,39.04,37.73,4.03,54.0
Fotokol,2017-11-01,27.22,39.34,21.39,0.0,125.0
Fotokol,2017-12-01,25.47,37.75,23.04,0.0,
Fotokol,2018-01-01,21.37,33.61,19.28,0.0,216.0
Fotokol,2018-02-01,28.7,41.25,17.37,0.0,
Fotokol,2018-03-01,31.26,42.71,12.0,0.0,128.0
Fotokol,2018-04-01,34.01,45.12,16.28,0.6,120.0
Fotokol,2018-05-01,34.9,45.28,37.48,27.28,178.0
Fotokol,2018-06-01,32.67,43.89,47.66,90.0,153.0
Fotokol,2018-07-01,28.83,37.4,65.96,198.09,191.0
Fotokol,2018-08-01,26.84,33.58,78.08,266.29,178.0
Fotokol,2018-09-01,27.03,34.9,78.1,114.6,115.0
Fotokol,2018-10-01,28.18,37.81,61.87,9.3,119.0
Fotokol,2018-11-01,26.15,36.88,31.19,0.0,57.0
Fotokol,2018-12-01,23.61,36.07,26.37,0.0,53.0
Fotokol,2019-01-01,24.02,38.13,19.55,0.0,148.0
Fotokol,2019-02-01,25.98,39.44,17.52,0.0,80.0
Fotokol,2019-03-01,31.44,44.4,15.42,0.0,134.0
Fotokol,2019-04-01,34.5,45.12,15.32,0.9,196.0
Fotokol,2019-05-01,35.18,45.68,33.87,17.36,284.0
Fotokol,2019-06-01,31.83,43.68,53.81,103.2,151.0
Fotokol,2019-07-01,29.34,38.96,64.45,121.83,248.0
Fotokol,2019-08-01,27.24,35.23,74.88,172.36,160.0
Fotokol,2019-09-01,28.64,38.5,68.24,84.0,282.0
Fotokol,2019-10-01,28.02,37.31,67.16,54.87,274.0
Fotokol,2019-11-01,27.46,38.16,35.81,0.0,397.0
Fotokol,2019-12-01,23.02,34.9,24.19,0.0,211.0
Fotokol,2020-01-01,22.68,37.18,22.38,0.0,167.0
Fotokol,2020-02-01,25.14,39.41,18.49,0.0,247.0
Fotokol,2020-03-01,31.28,43.41,17.16,0.0,262.0
Fotokol,2020-04-01,34.27,46.13,17.92,0.3,273.0
Fotokol,2020-05-01,34.71,44.65,31.5,12.4,365.0
Fotokol,2020-06-01,34.26,43.83,40.19,22.8,275.0
Fotokol,2020-07-01,29.44,40.48,63.16,142.6,174.0
Fotokol,2020-08-01,26.62,34.71,79.69,398.66,468.0
Fotokol,2020-09-01,26.79,34.78,78.49,90.9,1311.0
Fotokol,2020-10-01,26.58,36.02,64.15,88.04,1382.0
Fotokol,2020-11-01,23.85,34.77,48.41,0.3,943.0
Fotokol,2020-12-01,24.66,36.94,31.25,0.0,1750.0
Fotokol,2021-01-01,24.48,37.04,23.41,0.0,1377.0
Fotokol,2021-02-01,25.11,38.19,18.8,0.0,777.0
Fotokol,2021-03-01,31.16,43.51,16.98,0.0,394.0
Fotokol,2021-04-01,33.07,43.9,14.75,0.0,129.0
Fotokol,2021-05-01,35.17,44.21,23.56,1.86,215.0
Fotokol,2021-06-01,32.95,42.89,45.1,33.3,178.0
Fotokol,2021-07-01,29.29,40.35,64.7,227.85,960.0
Fotokol,2021-08-01,27.32,35.38,76.43,102.3,1628.0
Fotokol,2021-09-01,27.96,36.51,72.07,113.4,1633.0
Fotokol,2021-10-01,28.6,38.24,51.66,43.09,1118.0
Fotokol,2021-11-01,27.9,38.26,29.06,0.0,292.0
Fotokol,2021-12-01,24.6,36.18,25.19,0.0,1089.0
Fotokol,2022-01-01,22.7,35.72,24.27,0.0,473.0
Fotokol,2022-02-01,24.28,38.59,16.87,0.0,747.0
Fotokol,2022-03-01,30.09,43.24,13.62,0.0,584.0
Fotokol,2022-04-01,34.67,44.85,23.96,2.1,860.0
Fotokol,2022-05-01,34.28,42.89,34.44,17.36,1151.0
Fotokol,2022-06-01,32.79,43.14,43.19,56.4,863.0
Fotokol,2022-07-01,28.92,39.98,66.52,200.26,946.0
Fotokol,2022-08-01,26.36,34.08,79.5,267.22,837.0
Fotokol,2022-09-01,26.69,34.7,79.9,150.6,853.0
Fotokol,2022-10-01,26.51,34.22,62.9,4.34,598.0
Fotokol,2022-11-01,24.23,35.36,38.4,0.0,389.0
Fotokol,2022-12-01,23.1,36.88,29.24,0.0,336.0
Fotokol,2023-01-01,24.3,39.62,24.44,0.0,348.0
Fotokol,2023-02-01,25.95,40.3,19.43,0.0,324.0
Fotokol,2023-03-01,30.83,42.52,17.56,3.1,341.0
Fotokol,2023-04-01,34.22,44.09,20.18,13.5,364.0
Fotokol,2023-05-01,35.43,44.57,30.2,17.98,343.0
Fotokol,2023-06-01,31.61,41.64,54.24,72.6,295.0
Fotokol,2023-07-01,31.64,40.67,54.25,132.68,461.0
Fotokol,2023-08-01,28.34,36.92,72.83,389.05,748.0
Fotokol,2023-09-01,28.51,38.83,72.14,78.3,314.0
Fotokol,2023-10-01,29.34,38.85,47.21,7.75,486.0
Fotokol,2023-11-01,29.09,38.68,30.35,0.0,234.0
Fotokol,2023-12-01,24.61,37.85,25.78,0.0,208.0
Fotokol,2024-01-01,22.99,35.21,21.22,0.0,303.0
Fotokol,2024-02-01,26.5,42.95,19.64,0.0,300.0
Fotokol,2024-03-01,33.02,45.19,13.86,0.0,318.0
Fotokol,2024-04-01,35.51,46.53,13.47,0.0,316.0
Fotokol,2024-05-01,36.99,46.45,20.99,13.64,524.0
Fotokol,2024-06-01,33.69,42.07,46.65,92.4,488.0
Fotokol,2024-07-01,28.71,37.5,71.05,267.84,514.0
Fotokol,2024-08-01,26.12,31.8,84.58,301.94,706.0
Fotokol,2024-09-01,27.39,34.29,78.19,103.5,651.0
Fotokol,2024-10-01,26.56,35.81,68.66,34.72,538.0
Fotokol,2024-11-01,22.04,34.45,49.19,0.0,591.0
Fotokol,2024-12-01,21.68,35.45,36.62,0.0,536.0
Fotokol,2025-01-01,23.63,37.51,28.04,0.0,547.0
Fotokol,2025-02-01,27.14,40.36,20.5,0.0,524.0
Fotokol,2025-03-01,31.28,43.83,15.66,0.0,380.0
Fotokol,2025-04-01,33.97,45.41,15.73,0.0,300.0
Fotokol,2025-05-01,35.51,45.43,21.75,9.92,393.0
Fotokol,2025-06-01,34.77,44.07,35.81,37.2,396.0
Fotokol,2025-07-01,29.2,39.09,65.34,416.64,370.0
Fotokol,2025-08-01,26.86,34.38,77.99,269.08,543.0
Fotokol,2025-09-01,27.52,35.53,76.07,110.1,476.0
Fotokol,2025-10-01,26.85,36.29,58.81,17.36,473.0
Fotokol,2025-11-01,25.7,37.2,37.34,0.0,338.0
Fotokol,2025-12-01,25.47,37.88,29.09,0.0,436.0
Gazawa,2017-01-01,27.2,40.06,16.76,0.0,332.0
Gazawa,2017-02-01,26.98,39.02,11.25,0.0,376.0
Gazawa,2017-03-01,30.84,42.28,11.33,0.0,321.0
Gazawa,2017-04-01,33.66,43.41,29.91,15.6,341.0
Gazawa,2017-05-01,30.65,41.4,54.71,93.0,278.0
Gazawa,2017-06-01,28.18,38.9,67.55,99.9,314.0
Gazawa,2017-07-01,26.05,33.33,79.11,226.3,1239.0
Gazawa,2017-08-01,25.06,30.6,84.68,285.51,1532.0
Gazawa,2017-09-01,25.53,31.67,81.75,139.8,2215.0
Gazawa,2017-10-01,26.79,36.18,62.25,23.87,2102.0
Gazawa,2017-11-01,27.0,38.73,31.91,0.0,1119.0
Gazawa,2017-12-01,26.43,37.76,20.49,0.0,778.0
Gazawa,2018-01-01,23.03,35.14,13.45,0.0,444.0
Gazawa,2018-02-01,29.43,41.08,16.07,5.88,330.0
Gazawa,2018-03-01,31.39,42.0,13.45,0.0,359.0
Gazawa,2018-04-01,33.38,42.99,27.08,8.4,364.0
Gazawa,2018-05-01,29.94,41.98,60.6,95.48,290.0
Gazawa,2018-06-01,28.21,38.21,67.43,140.4,445.0
Gazawa,2018-07-01,26.06,33.04,77.88,226.92,2092.0
Gazawa,2018-08-01,24.83,30.72,85.14,329.84,2683.0
Gazawa,2018-09-01,25.51,32.45,83.07,174.9,2665.0
Gazawa,2018-10-01,26.82,35.63,73.13,20.46,2830.0
Gazawa,2018-11-01,27.04,37.71,42.96,4.2,2336.0
Gazawa,2018-12-01,25.49,37.55,21.44,0.0,1364.0
Gazawa,2019-01-01,26.06,38.76,15.18,0.0,1097.0
Gazawa,2019-02-01,27.91,41.09,14.49,0.28,632.0
Gazawa,2019-03-01,32.23,43.52,14.13,0.0,632.0
Gazawa,2019-04-01,34.23,44.07,20.68,1.5,640.0
Gazawa,2019-05-01,31.93,43.94,48.89,69.44,497.0
Gazawa,2019-06-01,28.48,38.96,68.38,251.1,841.0
Gazawa,2019-07-01,25.86,33.91,81.32,194.06,1621.0
Gazawa,2019-08-01,24.71,29.85,85.25,200.88,2836.0
Gazawa,2019-09-01,25.83,32.88,81.47,114.0,2481.0
Gazawa,2019-10-01,25.69,33.59,79.32,91.45,2540.0
Gazawa,2019-11-01,26.36,36.75,54.24,0.0,2453.0
Gazawa,2019-12-01,24.33,36.63,21.58,0.0,1705.0
Gazawa,2020-01-01,24.26,37.38,17.64,0.0,890.0
Gazawa,2020-02-01,27.09,40.78,14.85,0.0,653.0
Gazawa,2020-03-01,31.59,42.68,17.47,0.31,621.0
Gazawa,2020-04-01,33.46,43.02,30.48,10.8,454.0
Gazawa,2020-05-01,31.26,42.6,53.32,44.95,343.0
Gazawa,2020-06-01,30.46,40.63,55.72,50.1,350.0
Gazawa,2020-07-01,27.2,36.84,70.53,115.94,1066.0
Gazawa,2020-08-01,25.45,33.51,79.63,182.28,2161.0
Gazawa,2020-09-01,25.29,32.18,82.32,186.0,1848.0
Gazawa,2020-10-01,26.3,35.54,67.73,43.09,1686.0
Gazawa,2020-11-01,26.53,36.81,41.44,0.6,1372.0
Gazawa,2020-12-01,26.78,37.98,23.2,0.0,1271.0
Gazawa,2021-01-01,26.29,38.44,17.2,0.0,1324.0
Gazawa,2021-02-01,26.83,39.09,13.66,0.0,871.0
Gazawa,2021-03-01,31.78,42.47,21.46,1.55,760.0
Gazawa,2021-04-01,33.11,43.4,23.17,4.2,596.0
Gazawa,2021-05-01,32.99,42.8,39.04,20.46,465.0
Gazawa,2021-06-01,29.62,40.76,58.83,83.1,433.0
Gazawa,2021-07-01,26.04,35.68,77.19,175.46,1512.0
Gazawa,2021-08-01,25.46,32.65,80.74,143.22,2469.0
Gazawa,2021-09-01,26.25,34.65,77.85,101.4,2540.0
Gazawa,2021-10-01,28.13,37.85,65.43,42.47,2068.0
Gazawa,2021-11-01,29.0,38.74,36.86,0.6,1682.0
Gazawa,2021-12-01,26.56,37.82,21.27,0.0,1013.0
Gazawa,2022-01-01,24.81,37.1,19.35,0.0,754.0
Gazawa,2022-02-01,26.02,39.2,12.62,0.0,562.0
Gazawa,2022-03-01,31.18,42.98,11.94,0.0,564.0
Gazawa,2022-04-01,32.76,43.96,36.07,15.9,366.0
Gazawa,2022-05-01,30.43,40.15,55.71,53.32,355.0
Gazawa,2022-06-01,29.04,39.45,60.8,93.6,366.0
Gazawa,2022-07-01,26.79,37.06,73.36,151.9,1998.0
Gazawa,2022-08-01,24.8,31.44,84.34,230.64,1821.0
Gazawa,2022-09-01,25.4,31.87,82.83,299.1,1911.0
Gazawa,2022-10-01,25.9,34.85,72.02,11.47,1644.0
Gazawa,2022-11-01,25.96,36.24,38.25,0.0,896.0
Gazawa,2022-12-01,24.77,37.95,23.37,0.0,592.0
Gazawa,2023-01-01,25.9,39.61,19.54,0.0,488.0
Gazawa,2023-02-01,27.64,40.97,14.73,0.0,298.0
Gazawa,2023-03-01,31.18,42.85,17.24,2.48,342.0
Gazawa,2023-04-01,34.12,43.17,25.84,2.7,236.0
Gazawa,2023-05-01,32.13,42.13,48.12,97.03,247.0
Gazawa,2023-06-01,28.42,37.26,67.0,115.2,234.0
Gazawa,2023-07-01,28.24,36.6,67.9,89.28,466.0
Gazawa,2023-08-01,26.37,34.04,78.8,174.53,835.0
Gazawa,2023-09-01,26.84,35.55,77.34,130.8,1017.0
Gazawa,2023-10-01,29.27,38.81,59.41,24.49,1331.0
Gazawa,2023-11-01,30.01,39.59,33.03,3.6,927.0
Gazawa,2023-12-01,26.16,38.38,20.06,0.0,540.0
Gazawa,2024-01-01,24.7,36.34,14.18,0.0,483.0
Gazawa,2024-02-01,28.07,43.04,16.25,0.0,341.0
Gazawa,2024-03-01,33.45,45.2,13.0,0.0,328.0
Gazawa,2024-04-01,35.34,44.93,21.83,5.1,318.0
Gazawa,2024-05-01,35.46,45.42,32.46,12.4,212.0
Gazawa,2024-06-01,29.87,41.31,62.73,130.8,279.0
Gazawa,2024-07-01,26.89,36.11,76.51,217.93,445.0
Gazawa,2024-08-01,24.9,30.69,85.89,275.59,1046.0
Gazawa,2024-09-01,25.95,31.56,81.5,138.3,1326.0
Gazawa,2024-10-01,26.11,34.11,74.84,66.34,1258.0
Gazawa,2024-11-01,24.5,35.94,44.77,0.0,806.0
Gazawa,2024-12-01,24.57,37.06,27.23,0.0,534.0
Gazawa,2025-01-01,26.0,39.35,19.88,0.0,367.0
Gazawa,2025-02-01,28.89,41.25,15.41,0.0,320.0
